cpd:C00001	H2O; Water
cpd:C05945	L-Arginine phosphate; N5-[Imino(phosphonoamino)methyl]L-ornithine; omega-N-Phosphoarginine; Arginine phosphate; L-Arginine-NG-phosphoric acid; Phosphoarginine A; N-Phospho-L-arginine; N(omega)-Phospho-L-arginine; Phosphoarginine
cpd:C05946	D-4-Hydroxy-2-oxoglutarate
cpd:C05947	L-erythro-4-Hydroxyglutamate
cpd:C05949	12-Keto-leukotriene B4; 12-Keto-LTB4; 5-Hydroxy-12-oxo-delta5,8,11,14-eicosapolyenoic acid
cpd:C05950	20-COOH-Leukotriene B4; 20-COOH-LTB4; 20-Carboxy-leukotriene B4; 5,12-Dihydroxy-delta5,8,11,14-eicosapolyendioic acid
cpd:C05951	Leukotriene D4; LTD4
cpd:C05952	Leukotriene E4; LTE4; (7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyeicosa-7,9,11,14-tetraenoate; (7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate
cpd:C05953	Prostaglandin A2; PGA2; Medullin
cpd:C05954	Prostaglandin B2; PGB2
cpd:C05955	Prostaglandin C2; PGC2
cpd:C05956	Prostaglandin G2; PGG2
cpd:C05957	Prostaglandin J2; PGJ2
cpd:C05958	delta-12-Prostaglandin J2; delta-12-PGJ2
cpd:C05959	11-epi-Prostaglandin F2alpha; 11-epi-Prostaglandin F2a; 11-epi-PGF2alpha; 11-epi-PGF2a
cpd:C05960	15-Keto-prostaglandin F2alpha; 15-Keto-prostaglandin F2a; 15-Keto-PGF2alpha; 15-Keto-PGF2a
cpd:C05961	6-Keto-prostaglandin F1alpha; 6-Keto-prostaglandin F1a; 6-Keto-PGF1alpha; 6-Keto-PGF1a
cpd:C05962	6-Keto-prostaglandin E1; 6-Keto-PGE1
cpd:C05963	Thromboxane B2; TXB2
cpd:C05964	11-Dehydro-thromboxane B2
cpd:C05965	12(S)-HPETE; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid; (5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate; 12-Hydroperoxyeicosatetraenoate; 12-Hydroperoxyicosatetraenoate; 12-Hydroperoxyeicosatetraenoic acid; 12-Hydroperoxyicosatetraenoic acid
cpd:C05966	15(S)-HPETE; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid; 15-Hydroperoxyeicosatetraenoate; 15-Hydroperoxyicosatetraenoate; 15-Hydroperoxyeicosatetraenoic acid; 15-Hydroperoxyicosatetraenoic acid; (5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoate
cpd:C05973	2-Acyl-sn-glycero-3-phosphoethanolamine; L-1-Lysophosphatidylethanolamine; O-(2-Acyl-sn-glycero-3-phospho)-ethanolamine
cpd:C05974	2-Acyl-sn-glycero-3-phosphoserine
cpd:C05976	Aminoacyl-phosphatidylglycerol
cpd:C05977	2-Acyl-1-alkyl-sn-glycero-3-phosphate
cpd:C05979	Propane-1-ol; Propanol; 1-Propanol; Propan-1-ol; Propyl alcohol; 1-Hydroxypropane; Ethylcarbinol; n-Propanol; n-Propyl alcohol; Optal; Osmosol extra; UN 1274
cpd:C05980	Cardiolipin; Diphosphatidylglycerol; 1',3'-Bis(1,2-diacyl-sn-glycero-3-phospho)-sn-glycerol
cpd:C05981	Phosphatidylinositol-3,4,5-trisphosphate; 1-Phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate; 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)
cpd:C05983	Propionyladenylate; Propionyl-adenosine monophosphate
cpd:C05984	2-Hydroxybutanoic acid; 2-Hydroxybutyrate; 2-Hydroxybutyric acid
cpd:C05985	2-Propynal; 2-Propyn-1-al; Propiolaldehyde
cpd:C05986	2-Propyn-1-ol; Prop-2-yn-1-ol; Prop-2-yne-1-ol; Prop-2-in-1-ol; 1-Hydroxy-2-propyne; 1-Propyn-3-ol; 1-Propyn-3-yl alcohol; 2-Propynol; 2-Propynyl alcohol; 3-Hydroxy-1-propyne; 3-Propynol; Ethynylcarbinol; NA 1986; Propargyl alcohol; Propynyl alcohol
cpd:C05989	3-Oxopropionyl-CoA; Malonyl semialdehyde-CoA
cpd:C05993	Acetyl adenylate; 5'-Acetylphosphoadenosine
cpd:C05994	2-Propylmalate; 2-Propylmalic acid; Malic acid, 2-propyl-
cpd:C05995	7-Hydroxy-6-methyl-8-ribityl lumazine
cpd:C05996	Branched chain fatty acid
cpd:C05998	3-Hydroxyisovaleryl-CoA; 3-Hydroxyisovaleryl coenzyme A
cpd:C05999	Lactaldehyde; 2-Hydroxypropionaldehyde; 2-Hydroxypropanal
cpd:C06000	(S)-3-Hydroxyisobutyryl-CoA
cpd:C06001	(S)-3-Hydroxyisobutyrate
cpd:C06002	(S)-Methylmalonate semialdehyde
cpd:C06006	(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate
cpd:C06007	(R)-2,3-Dihydroxy-3-methylpentanoate; (R)-2,3-Dihydroxy-3-methylvalerate; (2R,3R)-2,3-Dihydroxy-3-methylpentanoate
cpd:C06010	(S)-2-Acetolactate; (S)-2-Hydroxy-2-methyl-3-oxobutanoate
cpd:C06019	D-arabino-Hex-3-ulose 6-phosphate; D-arabino-3-Hexulose 6-phosphate; D-arabino-6-Phospho-hex-3-ulose
cpd:C06022	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine; UDP-3-O-(beta-hydroxymyristoyl)-D-glucosamine; UDP-3-O-[(3R)-3-hydroxymyristoyl]-D-glucosamine; UDP-3-O-[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine
cpd:C06023	D-Glucosaminide; Chitosan oligosaccharide
cpd:C06024	3-Deoxy-D-manno-octulosonyl-lipid IV(A); KDO-lipid IV(A); 3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate
cpd:C06025	Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A); KDO2-lipid IV(A)
cpd:C06026	Di[3-deoxy-D-manno-octulosonyl]-lipid A; KDO2-lipid (A); alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A
cpd:C06027	L-erythro-3-Methylmalyl-CoA; beta-Methylmalyl-CoA
cpd:C06028	Mesaconyl-CoA; Mesaconyl-C1-CoA
cpd:C06029	L-threo-3-Methylmalate
cpd:C06030	Methyloxaloacetate
cpd:C06031	D-threo-3-Methylmalate
cpd:C06032	D-erythro-3-Methylmalate; (2R,3S)-3-Methylmalate
cpd:C06033	Parapyruvate; 4-Hydroxy-4-methyl-2-oxoglutarate
cpd:C06034	4-Hydroxy-4-methylglutamate
cpd:C06035	4-Methylene-2-oxoglutarate; 2-Methylidene-4-oxopentanedioic acid; 4-Carboxy-2-oxo-4-pentenoate
cpd:C06037	Digalactosyl-diacylglycerol; DGDG; Gal-alpha1->6Gal-beta1->3acyl2Gro; Galalpha1->6Galbeta1->3acyl2Gro; 1,2-Diacyl-3-O-(alpha-D-galactosyl(1->6)-O-beta-D-galactosyl)-sn-glycerol; 3-[alpha-D-Galactosyl-(1->6)-beta-D-galactosyl]-1,2-diacyl-sn-glycerol; 2,3-Di-O-acyl-1-O-(6-O-alpha-D-galactosyl-beta-D-galactosyl)-D-glycerol
cpd:C06038	Acyl1-monogalactosyl-diacylglycerol; Acylmono-beta-D-galactosyldiacylglycerol; acyl1->6Gal-beta1->3acyl2Gro; acyl1->6Galbeta1->3acyl2Gro; 1,2-Diacyl-3-O-(acyl(1->6)-O-beta-D-galactosyl)-sn-glycerol
cpd:C06040	Diglucosyl-diacylglycerol; Glc-beta1->6Glc-beta1->3acyl2Gro; Glcbeta1->6Glcbeta1->3acyl2Gro; 1,2-Diacyl-3-O-(beta-D-glucopyranosyl(1->6)-O-beta-D-glucopyranosyl)-sn-glycerol
cpd:C06041	Glycerophosphoglycoglycerolipid; (sn-Gro-1-P)->6Glc-beta1->6Glc-alpha1->3acyl2Gro; (sn-Gro-1-P)->6Glcbeta1->6Glcalpha1->3acyl2Gro
cpd:C06042	Lipoteichoic acid; (sn-Gro-1-P)25->6Glc-alpha1->2Glc-alpha1->3acyl2Gro
cpd:C06044	4-Hydroxyphenylethanol; Tyrosol
cpd:C06046	Salidroside; p-Hydroxyphenethyl alcohol 1-O-beta-D-glucoside; Tyrosol glucoside
cpd:C06047	Stizolobate; Stizolobic acid
cpd:C06048	Stizolobinate; Stizolobinic acid
cpd:C06049	N-Formylderivatives
cpd:C06050	2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate; 5-Formyl-3-hydroxy-2-methylpyridine-4-carboxylate
cpd:C06051	Isopyridoxal
cpd:C06052	5-Pyridoxolactone
cpd:C06054	2-Oxo-3-hydroxy-4-phosphobutanoate; alpha-Keto-3-hydroxy-4-phosphobutyrate; (3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate
cpd:C06055	O-Phospho-4-hydroxy-L-threonine; 4-(Phosphonooxy)-threonine; 4-(Phosphonooxy)-L-threonine
cpd:C06056	4-Hydroxy-L-threonine; Hydroxythreonine
cpd:C06058	Nitroalkane
cpd:C06062	Ceramide phosphoethanolamine
cpd:C06066	4,5-Dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one
cpd:C06069	Iridodial
cpd:C06070	Iridotrial; (1S,2R,3S)-2-Formyl-alpha-(hydroxymethylene)-3-methylcyclopentaneacetaldehyde
cpd:C06071	Deoxyloganin; 7-Deoxyloganin
cpd:C06074	Myrcene; beta-Myrcene
cpd:C06076	Comphene; Camphene
cpd:C06079	PR-toxin; PR Toxin
cpd:C06080	Nivalenol
cpd:C06081	Polyprenol
cpd:C06082	Abscisate; Abscisic acid; (+)-Abscisic acid; ABA
cpd:C06083	Tetrahymanol
cpd:C06087	Abietate; Abietic acid
cpd:C06088	Aphidicolin
cpd:C06089	ent-Copalyl diphosphate; (-)-Copalyl diphosphate
cpd:C06090	ent-Kaurene; ent-Kaur-16-ene
cpd:C06091	Aconitine
cpd:C06092	Veatchine
cpd:C06093	Gibberellin A12 aldehyde
cpd:C06094	Gibberellin A53
cpd:C06095	Gibberellin A44 diacid; Gibberellin A44 open lactone
cpd:C06096	Gibberellin A29
cpd:C06098	Zeaxanthin
cpd:C06099	d-Limonene; (+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene
cpd:C06102	Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate; 6-Oxohexanoic acid
cpd:C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
cpd:C06104	Adipate; Adipic acid; Hexanedioate; Hexan-1,6-dicarboxylate
cpd:C06105	Cyclohexane-1,2-dione
cpd:C06112	L-Glutamyl-tRNA(Gln); Glu-tRNA(Gln); Glutamyl-tRNA(Gln)
cpd:C06113	L-Aspartyl-tRNA(Asn); Asp-tRNA(Asn); Aspartyl-tRNA(Asn)
cpd:C06114	gamma-Glutamyl-beta-aminopropiononitrile; gamma-Glutamyl-3-aminopropiononitrile
cpd:C06118	4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate; 4-(4-Deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate; Unsaturated digalacturonate
cpd:C06124	Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate; S1P
cpd:C06125	Sulfatide; Galactosylceramidesulfate; Cerebroside 3-sulfate
cpd:C06126	Digalactosylceramide; Gal-alpha1->4Gal-beta1->1'Cer
cpd:C06127	Digalactosylceramidesulfate
cpd:C06128	GM4; N-Acetylneuraminyl-galactosylceramide; Neu5Ac-alpha2->3Gal-beta1->1'Cer
cpd:C06142	1-Butanol; n-Butanol
cpd:C06143	Poly-beta-hydroxybutyrate
cpd:C06144	3-Butynoate; But-3-ynoate
cpd:C06145	3-Butyn-1-al
cpd:C06146	3-Butyn-1-ol
cpd:C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
cpd:C06149	6-(3'-Triphosphoryl-1'-methylglyceryl)-7-methyl-7,8-dihydrobiopterin
cpd:C06153	scyllo-Inositol; Scyllitol
cpd:C06156	alpha-D-Glucosamine 1-phosphate; D-Glucosamine 1-phosphate
cpd:C06157	[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine; S-Glutaryldihydrolipoamide-E
cpd:C06159	2-Dehydro-3-deoxy-D-fuconate
cpd:C06160	(S)-Norcoclaurine; 6,7-Dihydroxy-(1S)-[(4-hydroxyphenyl)methyl]-1,2,3,4-tetrahydroisoquinoline
cpd:C06161	(S)-Coclaurine; (S)-1,2,3,4-Tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-7-isoquinolinol; 1-(p-Hydroxybenzyl)-6-methoxy-7-hydroxy-1,2,3,4-tetrahydroisoquinoline
cpd:C06162	Sanguinarine
cpd:C06163	(S)-cis-N-Methylstylopine
cpd:C06165	Macarpine
cpd:C06167	1,2-Dehydroreticuline; 1,2-Dehydroreticulinium; 3,4-Dihydro-7-hydroxy-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2-(methyl-14C)-isoquinolinium
cpd:C06171	Codeinone; (5alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-one
cpd:C06172	Neopinone
cpd:C06173	Thebaine
cpd:C06174	Codeine; (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol
cpd:C06175	Oripavine
cpd:C06176	Senecionine
cpd:C06177	Retronecine
cpd:C06178	1-Methylpyrrolinium; 1-Methyl-delta(1)-pyrrolinium
cpd:C06179	Hygrine; (+)-Hygrine
cpd:C06180	Anabasine
cpd:C06181	Piperideine; 1-Piperideine
cpd:C06182	Pelletierine
cpd:C06183	L-(+)-Anaferine; Anapheline
cpd:C06184	N-Methylpelletierine
cpd:C06185	Slaframine; (-)-Slaframine
cpd:C06186	Arbutin; Ursin; Uvasol; Hydroquinone-O-beta-D-glucopyranoside
cpd:C06187	Arbutin 6-phosphate; Arbutin-6P
cpd:C06188	Salicin 6-phosphate; Salicin-6P
cpd:C06192	ADP-mannose; APD-D-mannose
cpd:C06193	Guanosine 3'-phosphate; 3'-GMP; 3'-Guanylic acid; Guo-3'-P; Gp
cpd:C06194	2',3'-Cyclic GMP
cpd:C06195	Imidazolone; 4-Imidazolone; Imidazol-4-one
cpd:C06196	2'-Deoxyinosine 5'-phosphate; dIMP
cpd:C06197	P1,P3-Bis(5'-adenosyl) triphosphate; ApppA; Adenosine 5'-triphosphate 5'-adenosine
cpd:C06198	P1,P4-Bis(5'-uridyl) tetraphosphate; UppppU
cpd:C06199	Hordenine; 4-[2-(Dimethylamino)ethyl]phenol
cpd:C06201	2,4-Dihydroxyhept-2-enedioate; 2,4-Dihydroxyhept-2-1,7-dioate; 2,4-Dihydroxyhept-2-enedioic acid
cpd:C06202	Salicylaldehyde; o-Hydroxybenzaldehyde; 2-Hydroxybenzaldehyde
cpd:C06203	trans-o-Hydroxybenzylidenepyruvate; (3E)-4-(2-Hydroxyphenyl)-2-oxobut-3-enoate
cpd:C06204	2-Hydroxychromene-2-carboxylate; 2-Hydroxy-2H-chromene-2-carboxylate
cpd:C06205	1,2-Dihydronaphthalene-1,2-diol
cpd:C06206	Benzoyl phosphate
cpd:C06207	2,6-Dihydroxyphenylacetate
cpd:C06210	2-Hydroxy-6-keto-2,4-heptadienoate; 2-Hydroxy-6-oxo-hept-2,4-dienoate
cpd:C06212	N-Methylserotonin
cpd:C06213	N-Methyltryptamine; N-Methylindoleethylamine; 1-Methyl-2-(3-indolyl)ethylamine
cpd:C06215	Levan; (2,6-beta-D-Fructosyl)n; Levan n; 2,6-beta-D-Fructan; (2,6-beta-D-Fructosyl)n+1
cpd:C06216	Celloheptaose
cpd:C06217	Cellohexaose
cpd:C06218	Cellopentaose
cpd:C06219	Cellotriose
cpd:C06224	3,4-Dihydroxystyrene
cpd:C06227	Fe(III)hydroxamate; Fe(III)hydroxamic acid
cpd:C06228	Ferrichrome
cpd:C06229	Fe(III)dicitrate; Iron(III)dicitrate
cpd:C06230	Fe-enterobactin; Fe-enterochlin
cpd:C06231	Ectoine; L-Ectoine
cpd:C06232	Molybdate
cpd:C06234	4-Methyl-L-glutamate
cpd:C06240	UDP-N-acetyl-D-mannosaminouronate; UDP-N-acetyl-2-amino-2-deoxy-D-mannuronate; UDP-N-acetyl-D-mannosaminuronic acid; UDP-N-acetyl-alpha-D-mannosaminuronate
cpd:C06241	N-Acetylneuraminate 9-phosphate
cpd:C06250	Holo-[carboxylase]; Biotin-carboxyl-carrier protein
cpd:C06251	Lauroyl-KDO2-lipid IV(A)
cpd:C06304	(+)-Comphene; (+)-Camphene
cpd:C06307	(-)-beta-Pinene; (1S,5S)-6,6-Dimethyl-2-methylenebicyclo[3.1.1]heptane
cpd:C06308	(-)-alpha-Pinene; (1S,5S)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene
cpd:C06309	Diplopterol; 22-Hopanol; Hopan-22-ol
cpd:C06310	Diploptene; 22(29)-Hopene; Hop-22(29)-ene
cpd:C06311	Galactitol 1-phosphate; D-Galactitol 1-phosphate; L-Galactitol 6-phosphate
cpd:C06314	Lipoxin A4; LXA4; 5S,6R,15S-Trihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid; (7E,9E,11Z,13E)-(5S,6R,15S)-5,6,15-Trihydroxyicosa-7,9,11,13-tetraenoic acid
cpd:C06315	Lipoxin B4; LXB4; 5S,14R,15S-Trihydroxy-6E,8Z,10E,12E-eicosatetraenoic acid; (6E,8Z,10E,12E)-(5S,14R,15S)-Trihydroxyicosa-6,8,10,12-tetraenoic acid
cpd:C06317	Vanillyl alcohol; 4-Hydroxy-3-methoxy-benzenemethanol; 4-Hydroxy-3-methoxybenzyl alcohol; 4-Hydroxy-3-methoxybenzenemethanol
cpd:C06318	(3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate; (1R,6S)-Dihydroxycyclohexa-2,4-diene-1,4-dicarboxylate; Terephthalate-1,2-cis-dihydrodiol; cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,4-dicarboxylate
cpd:C06319	Precorrin 6Y; Precorrin 6B
cpd:C06320	Precorrin 6X; Precorrin 6A
cpd:C06321	(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate; cis-1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate; cis-1,6-Dihydroxy-2,4-cyclohexadiene-1-carboxylic acid
cpd:C06322	S-1,5-Cyclohexadiene-1-carboxylate coenzymeA; Cyclohexa-1,5-diene-1-carbonyl-CoA; Cyclohexa-1,5-dienecarbonyl-CoA
cpd:C06327	Chelirubine
cpd:C06328	6-Chlorobenzene-1,2,4-triol; 6-Chlorohydroxyquinol
cpd:C06329	2-Chloromaleylacetate
cpd:C06332	N-Acetylanthranilate; 2-(Acetylamino)-benzoic acid; N-Acetylanthranilic acid
cpd:C06333	2-Aminobenzenesulfonate; 2-Aminobenzenesulfonic acid; o-Aminobenzenesulfonic acid; Orthanilic acid
cpd:C06335	4-Aminobenzenesulfonate; 4-Aminobenzenesulfonic acid; p-Aminobenzenesulfonic acid; Sulfanilic acid
cpd:C06336	3-Sulfocatechol; 2,3-Dihydroxybenzenesulfonate
cpd:C06337	Terephthalate; Terephthalic acid; 1,4-Benzenedicarboxylic acid
cpd:C06341	7alpha,27-Dihydroxycholesterol; Cholest-5-ene-3beta,7alpha,26-triol; Cholest-5-ene-3beta,7alpha,27-triol
cpd:C06366	sym-Homospermidine; Homospermidine
cpd:C06367	1-Carboxyvinyl carboxyphosphonate; Carboxyphosphonoenolpyruvate
cpd:C06368	3-(Hydrohydroxyphosphoryl)pyruvate; (Hydroxyphosphinyl)pyruvate
cpd:C06376	N-Acetyl-D-galactosamine 6-phosphate
cpd:C06377	D-Galactosamine 6-phosphate
cpd:C06387	4-Chlorobenzoyl-CoA
cpd:C06394	delta-Cadinene; (+)-delta-Cadinene
cpd:C06397	ADP-D-glycero-beta-D-manno-heptose
cpd:C06398	ADP-L-glycero-beta-D-manno-heptose
cpd:C06399	Hydrogenobyrinate; Hydrogenobyrinic acid
cpd:C06406	Precorrin 3B
cpd:C06407	Precorrin 4
cpd:C06408	Precorrin 8X; Precorrin 8
cpd:C06416	Precorrin 5
cpd:C06423	Octanoic acid; Caprylic acid; Octylic acid
cpd:C06424	Tetradecanoic acid; Tetradecanoate; Myristic acid
cpd:C06425	Icosanoic acid; Eicosanoic acid; Arachidic acid
cpd:C06426	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid
cpd:C06427	(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
cpd:C06428	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate
cpd:C06429	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid
cpd:C06433	5'-Benzoylphosphoadenosine
cpd:C06435	5'-Butyrylphosphoinosine; Inosine 5'-phosphobutyrate
cpd:C06441	L-Xylulose 1-phosphate
cpd:C06442	N(gamma)-Acetyldiaminobutyrate; N4-Acetyl-L-2,4-diaminobutyrate; N4-Acetyl-L-2,4-diaminobutanoate
cpd:C06451	2-Hydroxyethylphosphonate; (2-Hydroxyethyl)-phosphonic acid
cpd:C06452	(S)-2-Hydroxypropylphosphonate
cpd:C06454	Fosfomycin; Phosphonomycin; (1R,2S)-Epoxypropylphosphonate
cpd:C06455	Hydroxymethylphosphonate; P-(Hydroxymethyl)-phosphonic acid
cpd:C06456	Phosphonoformate; Foscarmet; Foscarnet
cpd:C06457	Bialaphos; Bilanafos; 2-Amino-4-(methylphosphino)butyrylalanylalanine; gamma-(Hydroxymethylphosphinyl)-L-alpha-aminobutyryl-L-alanyl-L-alanine; Phosphinothricin tripeptide
cpd:C06459	N-Trimethyl-2-aminoethylphosphonate; 2-Trimethylaminoethylphosphonate
cpd:C06462	Leukotriene F4; LTF4
cpd:C06473	2-Keto-D-gluconic acid; 2-Dehydro-D-gluconate; 2-Dehydro-D-gluconic acid; alpha-D-arabino-2-Hexulosonic acid
cpd:C06481	L-Seryl-tRNA(Sec)
cpd:C06482	L-Selenocysteinyl-tRNA(Sec)
cpd:C06503	Hydrogenobyrinate a,c diamide; Hydrogenobyrinate diamide; Hydrogenobyrinic acid a,c-diamide
cpd:C06504	Cob(II)yrinate a,c diamide; Cob(II)yrinate diamide; Cob(II)yrinic acid a,c-diamide; Cobyrinate a,c-diamide; Cobyrinic acid a,c-diamide
cpd:C06505	Cob(I)yrinate a,c diamide; Cob(I)yrinate diamide; Cob(I)yrinic acid a,c-diamide
cpd:C06506	Adenosyl cobyrinate a,c diamide; Adenosyl cobyrinate diamide; Adenosylcob(III)yrinic acid a,c-diamide; Adenosylcobyrinic acid a,c-diamide
cpd:C06507	Adenosyl cobyrinate hexaamide; Adenosylcobyric acid
cpd:C06508	Adenosyl cobinamide
cpd:C06509	Adenosyl cobinamide phosphate
cpd:C06510	Adenosine-GDP-cobinamide; Adenosylcobinamide-GDP
cpd:C06511	Guattegaumerine; N,N'-Dimethyllindoldhamine
cpd:C06512	2'-Norberbamunine
cpd:C06516	(R)-Norreticuline; N-Norreticuline
cpd:C06517	(S)-6-O-Methylnorlaudanosoline; (S)-3'-Hydroxycoclaurine
cpd:C06518	(S)-Nororientaline
cpd:C06520	(S)-Norreticuline
cpd:C06521	Cuscohygrine; Cuskhygrine
cpd:C06522	Strychnine
cpd:C06523	Coniine; (+)-Coniine; Cicutin
cpd:C06524	Nornicotine
cpd:C06525	Gentianine
cpd:C06526	Quinine; (-)-Quinine
cpd:C06527	Quinidine; (+)-Quinidine
cpd:C06528	Cinchonine; (9S)-Cinchonan-9-ol
cpd:C06530	Cupreine
cpd:C06533	Papaverine
cpd:C06535	Physostigmine; Eserine
cpd:C06536	Harmaline
cpd:C06538	Harmine
cpd:C06542	Ajmaline
cpd:C06543	Solanidine
cpd:C06546	Mescaline
cpd:C06547	Ethylene
cpd:C06548	Ethylene oxide
cpd:C06551	Atrazine
cpd:C06552	Hydroxyatrazine; 4-(Ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine
cpd:C06553	N-Isopropylammelide
cpd:C06554	Cyanuric acid
cpd:C06555	Biuret
cpd:C06556	Deisopropylatrazine
cpd:C06557	Deisopropylhydroxyatrazine
cpd:C06558	N-Ethylammelide; 2,4-Dihydroxy-6-(N'-ethyl)amino-1,3,5-triazine
cpd:C06559	Deethylatrazine
cpd:C06560	Deisopropyldeethylatrazine
cpd:C06561	Naringenin chalcone; 2',4,4',6'-Tetrahydroxychalcone; Isosalipurpol; Chalconaringenin
cpd:C06562	(+)-Catechin; D-Catechin; Cyanidanol; (2R-trans)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol; (2R,3S)-Catechin; (2R,3S)-(+)-Catechin; Cianidanol
cpd:C06563	Genistein; 5,7,4'-Trihydroxyisoflavone
cpd:C06564	Penicillin N; Adicillin
cpd:C06565	Deacetoxycephalosporin C; DAOC
cpd:C06566	Cephamycin C
cpd:C06567	Penicilloic acid
cpd:C06568	O-Carbamoyl-deacetylcephalosporin C
cpd:C06569	7a-Hydroxy-O-carbamoyl-deacetylcephalosporin C
cpd:C06570	Tetracycline
cpd:C06571	Chlortetracycline; 7-Chlorotetracycline; Aureomycin
cpd:C06573	Amphotericin B
cpd:C06575	p-Cymene
cpd:C06576	p-Cumic alcohol
cpd:C06577	4-Isopropylbenzaldehyde; p-Cumic aldehyde; Cuminaldehyde
cpd:C06578	p-Cumate
cpd:C06579	cis-2,3-Dihydroxy-2,3-dihydro-p-cumate; cis-5,6-Dihydroxy-4-isopropylcyclohexa-1,3-dienecarboxylate
cpd:C06580	2,3-Dihydroxy-p-cumate
cpd:C06581	2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate
cpd:C06582	2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate
cpd:C06584	4-Chlorobiphenyl; 1-Chloro-4-phenyl benzene; 4-Monochloro-biphenyl
cpd:C06585	cis-2,3-Dihydro-2,3-dihydroxy-4'-chlorobiphenyl
cpd:C06586	2,3-Dihydroxy-4'-chlorobiphenyl
cpd:C06587	2-Hydroxy-6-oxo-6-(4'-chlorophenyl)-hexa-2,4-dienoate
cpd:C06588	Biphenyl; Phenylbenzene; 1,1'-Biphenyl; 1,1'-Diphenyl
cpd:C06589	cis-2,3-Dihydro-2,3-dihydroxybiphenyl; cis-3-Phenylcyclohexa-3,5-diene-1,2-diol; (1S,2R)-3-Phenylcyclohexa-3,5-diene-1,2-diol
cpd:C06592	NDP-N-methyl-L-glucosamine
cpd:C06593	epsilon-Caprolactam
cpd:C06594	1,2,4-Trichlorobenzene; Trichlorobenzene A
cpd:C06596	gamma-Pentachlorocyclohexene
cpd:C06597	1,3,4,6-Tetrachloro-1,4-cyclohexadiene
